filename,true_class,true_label,anomaly_score,pred_label,box_x1,box_y1,box_x2,box_y2
good/000.png,good,NORMAL,0.5533683896064758,DEFECT,,,,
good/001.png,good,NORMAL,0.6457442045211792,DEFECT,,,,
good/002.png,good,NORMAL,0.6112754940986633,DEFECT,,,,
good/003.png,good,NORMAL,0.5602045655250549,DEFECT,,,,
good/004.png,good,NORMAL,0.5636923313140869,DEFECT,,,,
good/005.png,good,NORMAL,0.5632591843605042,DEFECT,,,,
good/006.png,good,NORMAL,0.6241286396980286,DEFECT,,,,
good/007.png,good,NORMAL,0.6523841619491577,DEFECT,,,,
good/008.png,good,NORMAL,0.5709990859031677,DEFECT,,,,
good/009.png,good,NORMAL,0.6342642307281494,DEFECT,,,,
good/010.png,good,NORMAL,0.5922092199325562,DEFECT,,,,
good/011.png,good,NORMAL,0.5652241706848145,DEFECT,,,,
good/012.png,good,NORMAL,0.5815517902374268,DEFECT,,,,
good/013.png,good,NORMAL,0.5434715747833252,DEFECT,,,,
good/014.png,good,NORMAL,0.5639675855636597,DEFECT,,,,
good/015.png,good,NORMAL,0.6534780263900757,DEFECT,160.0,180.0,162.0,184.0
good/016.png,good,NORMAL,0.626774787902832,DEFECT,,,,
good/017.png,good,NORMAL,0.5634201765060425,DEFECT,,,,
good/018.png,good,NORMAL,0.5738072991371155,DEFECT,,,,
good/019.png,good,NORMAL,0.6459275484085083,DEFECT,,,,
broken_large/000.png,broken_large,DEFECT,0.5347035527229309,DEFECT,,,,
broken_large/001.png,broken_large,DEFECT,0.5302118062973022,DEFECT,,,,
broken_large/002.png,broken_large,DEFECT,0.513014554977417,DEFECT,,,,
broken_large/003.png,broken_large,DEFECT,1.0,DEFECT,0.0,9.0,196.0,223.0
broken_large/004.png,broken_large,DEFECT,0.5080534815788269,DEFECT,,,,
broken_large/005.png,broken_large,DEFECT,0.5000004768371582,DEFECT,,,,
broken_large/006.png,broken_large,DEFECT,0.5137367844581604,DEFECT,,,,
